"date","year","week","case.uk","death.uk","case.sa","death.sa","case.br","death.br"
2020-01-19,2020,4,0,0,0,0,0,0
2020-01-26,2020,5,0.0293224536865039,0,0,0,0,0
2020-02-02,2020,6,0.161273495275772,0,0,0,0,0
2020-02-09,2020,7,0.0733061342162598,0,0,0,0,0
2020-02-16,2020,8,0.0733061342162598,0,0,0,0,0
2020-02-23,2020,9,0.557126620043574,0,0,0,0.00934608102023241,0
2020-03-01,2020,10,5.38067025147347,0.0293224536865039,0.0166550098252899,0,0.0514034456112783,0
2020-03-08,2020,11,32.2840215088408,0.395853124767803,0.616235363535728,0,0.644879590396036,0
2020-03-15,2020,12,92.7615822372551,3.26945358604519,3.36431198470857,0,4.0655452438011,0.0700956076517431
2020-03-22,2020,13,262.172058411031,17.7694069340214,15.7722943045496,0.0166550098252899,13.472375790665,0.448611888971156
2020-03-29,2020,14,445.100185734286,55.85927427279,6.6286939104654,0.13324007860232,30.1691495333102,1.56079553037881
2020-04-05,2020,15,471.974214537967,93.567949713634,7.37816935260345,0.266480157204639,48.4454109683747,3.1729945063689
2020-04-12,2020,16,469.848336645695,93.6999007552233,16.7549398842417,0.449685265282829,74.4462083666613,5.74783982744293
2020-04-19,2020,17,481.240109902902,81.8096457853459,22.1011980381598,0.566270334059858,105.919136202294,7.9581879887279
2020-04-26,2020,18,457.870114314759,63.600402046027,32.8936444049476,0.616235363535728,176.52877831015,12.6359015393542
2020-05-03,2020,19,334.759792511972,47.0625381668388,51.3640503011942,1.04926561899327,275.527141516962,18.2014927869026
2020-05-10,2020,20,290.02838941321,37.7966428019035,82.1924734878059,1.24912573689675,361.9269875085,23.3932407936417
2020-05-17,2020,21,237.893066758606,26.7567389889348,116.385208659126,2.43163143449233,532.198564575604,29.678480279748
2020-05-24,2020,22,157.520221203899,26.4928369057563,160.28781455859,3.93058231876843,705.825384728972,31.8748093195026
2020-05-31,2020,23,123.770077010733,17.3002476750373,249.925077438301,5.14639803601459,815.006303207327,33.1598954597846
2020-06-07,2020,24,103.786824823381,11.347789576677,329.152959177205,7.84450962771156,830.249761351326,31.729945063689
2020-06-14,2020,25,96.3682440406951,7.44790323637199,448.769239742438,7.56137446068164,1014.35353832837,33.9075819414032
2020-06-21,2020,26,75.3293835206286,6.48026226471737,651.527329355517,8.92708526635541,1149.97919305348,33.1505493787644
2020-06-28,2020,27,38.0018999777091,4.75023749721363,935.628486955313,10.2095210229027,1230.58446881247,33.6225264702861
2020-07-05,2020,28,59.4219523957002,3.26945358604519,1269.22833375587,15.738984284899,1228.290005922,33.6645838348771
2020-07-12,2020,29,74.9628528495473,2.16986157280129,1443.90607680351,16.2719445993083,1098.21125028241,34.1272148453786
2020-07-19,2020,30,67.6615618816078,1.74468599434698,1387.71207365298,28.4301017717699,1493.75141818018,35.8749319961621
2020-07-26,2020,31,77.1327144223485,1.45146145748194,1150.69462882928,24.9492047182843,1464.36266641205,33.2440101889667
2020-08-02,2020,32,85.3430014545696,1.04094710587089,831.051680262318,34.2593552106214,1423.10439174824,32.3094020869434
2020-08-09,2020,33,111.659903638207,1.29018796220617,507.394874327458,24.4328994137004,1423.80067478425,31.566388645835
2020-08-16,2020,34,105.883380261966,0.908996064281621,389.593989833182,21.8180628711298,1239.59876395649,32.7953982999955
2020-08-23,2020,35,119.503659999347,1.0995920132439,258.252582350946,16.5550797663382,1232.70602920406,28.0943195468186
2020-08-30,2020,36,167.313920735191,0.74772256900585,238.716255825881,13.2906978405814,1293.71724610414,27.7625336706004
2020-09-06,2020,37,308.032375976724,1.08493078640064,188.701261320535,10.7924463667879,900.434156772761,23.3979138341518
2020-09-13,2020,38,369.228336820457,1.99392685068227,190.566622420968,8.54402004037374,993.26877954673,24.8699215948384
2020-09-20,2020,39,570.600287512523,3.10818009076941,163.918606700504,7.26158428382642,886.71410983506,22.7763994463064
2020-09-27,2020,40,743.910650026604,5.07278448776518,170.180890394813,9.36011552181295,882.466316011364,21.4071985768423
2020-10-04,2020,41,1624.85978735708,6.49492349156062,186.203009846742,12.2414322215881,821.539213840469,19.6781735880993
2020-10-11,2020,42,1679.94201660718,12.0075447846234,187.119035387133,12.2414322215881,662.286666296219,16.248161853674
2020-10-18,2020,43,2178.39440682406,17.0949904992318,201.775444033388,8.92708526635541,730.27005963739,15.0845747666551
2020-10-25,2020,44,2311.34241183867,26.536820586286,186.636040102199,5.52946326199626,724.181087852708,13.9303337606564
2020-11-01,2020,45,2342.58548624164,34.2046422253068,174.111472713581,8.54402004037374,551.213166411267,11.1452016166271
2020-11-08,2020,46,2535.14603960091,42.1950108548791,221.111910440549,6.94513909714591,913.102769595686,15.8369342887838
2020-11-15,2020,47,2184.91865276931,41.9311087717006,270.26084443498,10.6425512783603,952.491828055456,15.5658979391971
2020-11-22,2020,48,1638.96388758029,49.9068161744297,328.603343852971,9.89307583622223,1109.78169858546,16.6921007021351
2020-11-29,2020,49,1477.83700457295,43.7491009002638,421.538298678089,10.4593461702821,1340.71868755489,19.0052557546426
2020-12-06,2020,50,1832.43343700385,44.1596152518749,708.104397732027,17.3045552084763,1415.6976225397,21.0053170929723
2020-12-13,2020,51,2540.24814654236,44.7020806450752,991.172944722655,23.8666290796405,1556.25333500298,24.4540209894381
2020-12-20,2020,52,3691.49166195504,48.821885388029,1372.93907993795,33.0102294737247,1180.64835792137,20.7436268244058
2020-12-27,2020,53,5040.29520908053,61.0640098021444,1565.2045133611,44.2023960763195,1171.05927879461,23.0380897148729
2021-01-03,2021,1,6122.82155427888,92.3364066588008,2086.6562159811,60.774130852483,1680.39265615422,32.2720177628625
2021-01-10,2021,2,4984.11338781719,113.213993683592,1856.7504603528,67.0697245664426,1771.36740880516,31.1458149999245
2021-01-17,2021,3,3813.35577947615,128.124461383179,1318.74367796646,62.0066015795545,1687.87886705142,33.4075666068208
2021-01-24,2021,4,2618.92028978325,120.837831642083,739.432471213398,56.2439681800041,1685.66384584963,35.0478038258715
2021-01-31,2021,5,1960.89510660442,95.605860244846,407.448160365893,37.1240169005713,1262.6088154283,28.4541436660976
2021-02-07,2021,6,1426.11219626996,70.6084684771014,272.525925771219,27.3308711233008,1694.39308552252,39.7114982549675
2021-02-14,2021,7,1151.91793184746,50.683861197122,204.923240890368,18.6369559944995,1539.27150578922,34.7907865978151
2021-02-21,2021,8,950.69259342383,34.3072708132096,164.185086857708,16.6716648351152,1766.80184822678,38.524545965398
2021-02-28,2021,9,627.852378335422,25.1293428093339,132.923633415639,11.7584369366547,1970.17257122703,47.2164013142141
2021-03-07,2021,10,593.442478934309,15.3209820511983,136.70432064598,10.226176032728,2339.89419030641,59.7074385977548
2021-03-14,2021,11,549.077606506629,9.64708726285979,139.685567404707,13.673763066563,2387.46106965888,73.1330839833186
2021-03-21,2021,12,555.792448400838,6.61221330630663,127.660650310847,9.42673556111411,2522.98859053327,83.1707749990482
2021-03-28,2021,13,409.209502422005,3.70929039134275,117.167994120915,5.09643300653872,2164.71592070368,91.7925347402126
2021-04-04,2021,14,160.599078840982,3.723951618186,100.363089207197,5.02981296723756,2296.37416403569,98.7927494243667
2021-04-11,2021,15,262.333331906307,2.63902083178535,135.788295105589,7.57802947050692,2126.63064054623,95.0683361378041
