date,areaType,areaCode,areaName,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate
"2021-04-05",overview,K02000001,United Kingdom,40744,64590
"2021-04-04",overview,K02000001,United Kingdom,48055,47708
"2021-04-03",overview,K02000001,United Kingdom,107886,178913
"2021-04-02",overview,K02000001,United Kingdom,107420,246631
"2021-04-01",overview,K02000001,United Kingdom,170818,445416
"2021-03-31",overview,K02000001,United Kingdom,239434,387574
"2021-03-30",overview,K02000001,United Kingdom,225917,277682
"2021-03-29",overview,K02000001,United Kingdom,236809,168230
"2021-03-28",overview,K02000001,United Kingdom,293548,147594
"2021-03-27",overview,K02000001,United Kingdom,424301,238861
"2021-03-26",overview,K02000001,United Kingdom,411305,283654
"2021-03-25",overview,K02000001,United Kingdom,324942,234382
"2021-03-24",overview,K02000001,United Kingdom,337665,242642
"2021-03-23",overview,K02000001,United Kingdom,325650,169155
"2021-03-22",overview,K02000001,United Kingdom,329897,82300
"2021-03-21",overview,K02000001,United Kingdom,367006,52612
"2021-03-20",overview,K02000001,United Kingdom,752308,91977
"2021-03-19",overview,K02000001,United Kingdom,614930,125725
"2021-03-18",overview,K02000001,United Kingdom,528260,132016
"2021-03-17",overview,K02000001,United Kingdom,462246,119609
"2021-03-16",overview,K02000001,United Kingdom,433320,95799
"2021-03-15",overview,K02000001,United Kingdom,386685,53366
"2021-03-14",overview,K02000001,United Kingdom,257010,25371
"2021-03-13",overview,K02000001,United Kingdom,512108,52155
"2021-03-12",overview,K02000001,United Kingdom,369578,87676
"2021-03-11",overview,K02000001,United Kingdom,260809,93563
"2021-03-10",overview,K02000001,United Kingdom,243887,97162
"2021-03-09",overview,K02000001,United Kingdom,217301,72922
"2021-03-08",overview,K02000001,United Kingdom,215273,38788
"2021-03-07",overview,K02000001,United Kingdom,164143,20241
"2021-03-06",overview,K02000001,United Kingdom,416834,31562
"2021-03-05",overview,K02000001,United Kingdom,437463,56772
"2021-03-04",overview,K02000001,United Kingdom,376244,70206
"2021-03-03",overview,K02000001,United Kingdom,278956,68450
"2021-03-02",overview,K02000001,United Kingdom,224996,51314
"2021-03-01",overview,K02000001,United Kingdom,203168,28282
"2021-02-28",overview,K02000001,United Kingdom,185900,19684
"2021-02-27",overview,K02000001,United Kingdom,407503,27322
"2021-02-26",overview,K02000001,United Kingdom,504493,32773
"2021-02-25",overview,K02000001,United Kingdom,485720,35319
"2021-02-24",overview,K02000001,United Kingdom,448962,31613
"2021-02-23",overview,K02000001,United Kingdom,326692,26317
"2021-02-22",overview,K02000001,United Kingdom,192341,18463
"2021-02-21",overview,K02000001,United Kingdom,141719,9177
"2021-02-20",overview,K02000001,United Kingdom,334679,10263
"2021-02-19",overview,K02000001,United Kingdom,371906,15294
"2021-02-18",overview,K02000001,United Kingdom,452454,15867
"2021-02-17",overview,K02000001,United Kingdom,482110,15147
"2021-02-16",overview,K02000001,United Kingdom,364865,12412
"2021-02-15",overview,K02000001,United Kingdom,275956,6535
"2021-02-14",overview,K02000001,United Kingdom,237962,1915
"2021-02-13",overview,K02000001,United Kingdom,505362,2846
"2021-02-12",overview,K02000001,United Kingdom,544603,4775
"2021-02-11",overview,K02000001,United Kingdom,503116,5647
"2021-02-10",overview,K02000001,United Kingdom,450810,4894
"2021-02-09",overview,K02000001,United Kingdom,411812,3161
"2021-02-08",overview,K02000001,United Kingdom,352480,3811
"2021-02-07",overview,K02000001,United Kingdom,278988,862
"2021-02-06",overview,K02000001,United Kingdom,549808,1662
"2021-02-05",overview,K02000001,United Kingdom,494163,4064
"2021-02-04",overview,K02000001,United Kingdom,480560,4036
"2021-02-03",overview,K02000001,United Kingdom,469016,2995
"2021-02-02",overview,K02000001,United Kingdom,374756,2166
"2021-02-01",overview,K02000001,United Kingdom,350348,2587
"2021-01-31",overview,K02000001,United Kingdom,319038,3156
"2021-01-30",overview,K02000001,United Kingdom,598389,10621
"2021-01-29",overview,K02000001,United Kingdom,487756,2178
"2021-01-28",overview,K02000001,United Kingdom,414419,1769
"2021-01-27",overview,K02000001,United Kingdom,312378,2329
"2021-01-26",overview,K02000001,United Kingdom,311060,1710
"2021-01-25",overview,K02000001,United Kingdom,279757,1968
"2021-01-24",overview,K02000001,United Kingdom,220249,818
"2021-01-23",overview,K02000001,United Kingdom,491970,1043
"2021-01-22",overview,K02000001,United Kingdom,478248,1821
"2021-01-21",overview,K02000001,United Kingdom,409855,2760
"2021-01-20",overview,K02000001,United Kingdom,363508,3411
"2021-01-19",overview,K02000001,United Kingdom,343163,3759
"2021-01-18",overview,K02000001,United Kingdom,204076,4565
"2021-01-17",overview,K02000001,United Kingdom,190107,2239
"2021-01-16",overview,K02000001,United Kingdom,296131,2620
"2021-01-15",overview,K02000001,United Kingdom,341317,4208
"2021-01-14",overview,K02000001,United Kingdom,316694,5257
"2021-01-13",overview,K02000001,United Kingdom,278943,9745
"2021-01-12",overview,K02000001,United Kingdom,207661,16065
"2021-01-11",overview,K02000001,United Kingdom,145076,20768